biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
biolink:temporally_related_to_NEG || temporally related to NEG || t1 does not before t2 iff:=  t1 does not before_or_simulataneous_with t2  and not (t1 does not simultaeous_with t2)
biolink:temporally_related_to_NEG || temporally related to NEG || X does not happen_during Y iff: (start(Y) is not before_or_simultaneous_with start(X)) AND (end(X) is not before_or_simultaneous_with end(Y))
biolink:temporally_related_to_NEG || temporally related to NEG || x existence does not end during y if and only if the time point at which x ends is not before or equivalent to the time point at which y ends and not after or equivalent to the point at which y starts. Formally: x existence does not end during y iff ω(x) <= ω(y) and ω(x) >= α(y).
biolink:temporally_related_to_NEG || temporally related to NEG || existence does not end during
biolink:temporally_related_to_NEG || temporally related to NEG || t1 does not simultaneous_with t2 iff:=  t1 does not before_or_simultaneous_with t2  and not (t1 does not before t2)
biolink:temporally_related_to_NEG || temporally related to NEG || x existence does not end during or before y if and only if the time point at which x ends is not before or equivalent to the time point at which y ends.
biolink:temporally_related_to_NEG || temporally related to NEG || not simultaneous with
biolink:temporally_related_to_NEG || temporally related to NEG || does not happen during
biolink:temporally_related_to_NEG || temporally related to NEG || does not end with
biolink:related_condition_NEG || related condition NEG || not related condition
biolink:is_sequence_variant_of_NEG || is sequence variant of NEG || is not sequence variant of
biolink:is_sequence_variant_of_NEG || is sequence variant of NEG || does not hold between a sequence variant and a nucleic acid entity
biolink:has_sequence_variant_NEG || has sequence variant NEG || does not have sequence variant
biolink:disease_has_basis_in_NEG || disease has basis in NEG || disease does not have basis in development of
biolink:disease_has_basis_in_NEG || disease has basis in NEG || disease does not have basis in accumulation of
biolink:disease_has_basis_in_NEG || disease has basis in NEG || disease does not have basis in
biolink:disease_has_basis_in_NEG || disease has basis in NEG || A relation that does not hold between a disease and an entity where the state of the entity does not have contribution to the disease.
biolink:occurs_in_disease_NEG || occurs in disease NEG || does not occur in disease
biolink:contraindicated_in_NEG || contraindicated in NEG || is not contraindicated in
biolink:contraindicated_in_NEG || contraindicated in NEG || Holds between a substance, procedure, or activity and a medical condition or circumstance, where an authority has not established that the substance, procedure, or activity should not be applied as an intervention in patients with the condition or circumstance because it can result in detrimental outcomes.
biolink:has_contraindication_NEG || has contraindication NEG || does not have contraindication
biolink:has_not_completed_NEG || has not completed NEG || has completed
biolink:has_not_completed_NEG || has not completed NEG || does not hold between an entity and a process that the entity is capable of, but has not completed
biolink:not_completed_by_NEG || not completed by NEG || is not completed by
biolink:has_completed_NEG || has completed NEG || does not have completed
biolink:has_completed_NEG || has completed NEG || does not hold between an entity and a process that the entity is capable of and has completed
biolink:completed_by_NEG || completed by NEG || is not completed by
biolink:in_linkage_disequilibrium_with_NEG || in linkage disequilibrium with NEG || does not hold between two sequence variants, the presence of which are not correlated in a population
biolink:in_linkage_disequilibrium_with_NEG || in linkage disequilibrium with NEG || not in linkage disequilibrium with
biolink:has_increased_amount_NEG || has increased amount NEG || does not have increased amount
biolink:increased_amount_of_NEG || increased amount of NEG || decreased amount of
biolink:has_decreased_amount_NEG || has decreased amount NEG || does not have decreased amount
biolink:decreased_amount_in_NEG || decreased amount in NEG || did not decrease amount in
biolink:lacks_part_NEG || lacks part NEG || does not lack part
biolink:missing_from_NEG || missing from NEG || not missing from
biolink:develops_from_NEG || develops from NEG || does not directly develop from
biolink:develops_from_NEG || develops from NEG || x does not develop_in y if x is not located in y whilst x is developing
biolink:develops_from_NEG || develops from NEG || Candidate definition: x does not directly_develop from y if and only if there does not exist some developmental process (GO:0032502) p such that x and y both participate in p, and x is not the output of p and y is not the input of p, and a substantial portion of the matter of x does not come from y, and the start of x is not coincident with or after the end of y.
biolink:develops_from_NEG || develops from NEG || not inverse of develops from
biolink:develops_from_NEG || develops from NEG || does not develop from part of
biolink:develops_from_NEG || develops from NEG || does not develop in
biolink:develops_from_NEG || develops from NEG || This is not the transitive form of the develops from relation
biolink:develops_from_NEG || develops from NEG || does not develop into
biolink:develops_from_NEG || develops from NEG || does not have developmental precursor
biolink:develops_from_NEG || develops from NEG || does not develop from
biolink:develops_from_NEG || develops from NEG || x does not develop from y if and only if either (a) x does not directly develop from y or (b) there does not exist some z such that x directly develops from z and z develops from y
biolink:develops_from_NEG || develops from NEG || x does not develop from part of y if and only if there does not exist some z such that x develops from z and z is part of y
biolink:develops_into_NEG || develops into NEG || does not develop into
biolink:in_taxon_NEG || in taxon NEG || x is not in taxon y if an only if y is not an organism, and the relationship between x and y is not one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed.
biolink:in_taxon_NEG || in taxon NEG || x does not only in taxon y if and only if x is not in taxon y, and there is no other organism z such that y!=z a and x is not in taxon z.
biolink:in_taxon_NEG || in taxon NEG || does not connect an entity to its taxonomic classification. Only certain kinds of entities can be taxonomically classified; see 'thing with taxon'
biolink:in_taxon_NEG || in taxon NEG || is not a life cycle stage of
biolink:in_taxon_NEG || in taxon NEG || not in taxon
biolink:in_taxon_NEG || in taxon NEG || not only in taxon
biolink:in_taxon_NEG || in taxon NEG || Does not connect a biological entity to its taxon of origin.
biolink:taxon_of_NEG || taxon of NEG || is not a taxon of
biolink:has_molecular_consequence_NEG || has molecular consequence NEG || does not connect a sequence variant to a class describing the molecular consequence. E.g.  SO:0001583
biolink:has_molecular_consequence_NEG || has molecular consequence NEG || does not have molecular consequence
biolink:is_molecular_consequence_of_NEG || is molecular consequence of NEG || is not molecular consequence of
biolink:has_missense_variant_NEG || has missense variant NEG || does not have missense variant
biolink:has_synonymous_variant_NEG || has synonymous variant NEG || does not have synonymous variant
biolink:has_nonsense_variant_NEG || has nonsense variant NEG || does not have nonsense variant
biolink:has_frameshift_variant_NEG || has frameshift variant NEG || does not have frameshift variant
biolink:has_splice_site_variant_NEG || has splice site variant NEG || does not have splice site variant
biolink:has_nearby_variant_NEG || has nearby variant NEG || does not have a nearby variant
biolink:has_non_coding_variant_NEG || has non coding variant NEG || does not have non coding variant
biolink:is_missense_variant_of_NEG || is missense variant of NEG || is not missense variant of
biolink:is_missense_variant_of_NEG || is missense variant of NEG || does not hold between a gene  and a sequence variant, such the sequence variant does not result in a different amino acid sequence but where the length is not preserved.
biolink:is_synonymous_variant_of_NEG || is synonymous variant of NEG || does not hold between a sequence variant and a gene, such the sequence variant is not in the coding sequence of the gene, but does not result in the same amino acid sequence
biolink:is_synonymous_variant_of_NEG || is synonymous variant of NEG || is not synonymous variant of
biolink:is_nonsense_variant_of_NEG || is nonsense variant of NEG || does not hold between a sequence variant and a gene, such the sequence variant does not result in a premature stop codon
biolink:is_nonsense_variant_of_NEG || is nonsense variant of NEG || is not nonsense variant of
biolink:is_frameshift_variant_of_NEG || is frameshift variant of NEG || does not hold between a sequence variant and a gene, such the sequence variant does not cause a disruption of the translational reading frame, because the number of nucleotides inserted or deleted is not a multiple of three.
biolink:is_frameshift_variant_of_NEG || is frameshift variant of NEG || is not frameshift variant of
biolink:is_splice_site_variant_of_NEG || is splice site variant of NEG || does not hold between a sequence variant and a gene, such the sequence variant is not in the canonical splice site of one of the gene's exons.
biolink:is_splice_site_variant_of_NEG || is splice site variant of NEG || is not splice site variant of
biolink:is_nearby_variant_of_NEG || is nearby variant of NEG || does not hold between a sequence variant and a gene sequence that the variant is genomically close to.
biolink:is_nearby_variant_of_NEG || is nearby variant of NEG || is not nearby variant of
biolink:is_non_coding_variant_of_NEG || is non coding variant of NEG || is not non coding variant of
biolink:is_non_coding_variant_of_NEG || is non coding variant of NEG || holds between a sequence variant and a gene, where the variant does affect the coding sequence
biolink:precedes_NEG || precedes NEG || is not causally upstream of
biolink:precedes_NEG || precedes NEG || X does not immediately_precedes_Y iff: end(X) is not simultaneous_with start(Y)
biolink:precedes_NEG || precedes NEG || is not immediately causally upstream of
biolink:precedes_NEG || precedes NEG || c does not act upstream of p if and only if c does not enable some f that is involved in p' and p' does not occur chronologically before p, is not part of p, and does not affect the execution of p. c is not a material entity and f, p, p' are not processes.
biolink:precedes_NEG || precedes NEG || c does not act upstream of or within p if c is not enables f, and f is not causally upstream of or within p. c is not a material entity and p is not an process.
biolink:precedes_NEG || precedes NEG || does not transform into
biolink:precedes_NEG || precedes NEG || does not act upstream of
biolink:precedes_NEG || precedes NEG || does not act upstream of or within
biolink:precedes_NEG || precedes NEG || does not affect
biolink:precedes_NEG || precedes NEG || does not immediately precede
biolink:precedes_NEG || precedes NEG || p is not immediately causally upstream of q iff p is not causally upstream of q, and the end of p is not coincident with the beginning of q.
biolink:precedes_NEG || precedes NEG || x does not precede y if and only if the time point at which x ends is not before or equivalent to the time point at which y starts. Formally: x does not precede y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.
biolink:precedes_NEG || precedes NEG || p is not causally upstream of q iff p is not causally related to q, the end of p does not precede the end of q, and p is not an occurrent part of q.
biolink:precedes_NEG || precedes NEG || does not hold between two processes, where one completes before the other begins
biolink:precedes_NEG || precedes NEG || does not precede
biolink:preceded_by_NEG || preceded by NEG || x does not developmentally replace y if and only if there is not some developmental process that causes x to move or to cease to exist, and for the site that was occupied by x to become occupied by y, where y does not either come into existence in this site or move to this site from somewhere else
biolink:preceded_by_NEG || preceded by NEG || X does not immediately_preceded_by Y iff: end(X) is not simultaneous_with start(Y)
biolink:preceded_by_NEG || preceded by NEG || does not developmentally replace
biolink:preceded_by_NEG || preceded by NEG || is not immediately preceded by
biolink:preceded_by_NEG || preceded by NEG || does not transform from
biolink:preceded_by_NEG || preceded by NEG || x is not preceded by y if and only if the time point at which y ends is not before or equivalent to the time point at which x starts. Formally: x is not preceded by y iff ω(y) is not <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.
biolink:preceded_by_NEG || preceded by NEG || does not hold between two processes, where the other is not completed before the one begins
biolink:preceded_by_NEG || preceded by NEG || is not preceded by
biolink:has_mode_of_inheritance_NEG || has mode of inheritance NEG || does not have mode of inheritance
biolink:has_mode_of_inheritance_NEG || has mode of inheritance NEG || Does not relate a disease or phenotypic feature to its observed genetic segregation and assumed associated underlying DNA manifestation (i.e. autosomal, sex or mitochondrial chromosome).
biolink:mode_of_inheritance_of_NEG || mode of inheritance of NEG || is not a mode of inheritance of
biolink:is_metabolite_of_NEG || is metabolite of NEG || does not hold between two molecular entities in which the first one is derived from the second one as a product of metabolism
biolink:is_metabolite_of_NEG || is metabolite of NEG || is not metabolite of
biolink:has_metabolite_NEG || has metabolite NEG || does not have metabolite
biolink:has_metabolite_NEG || has metabolite NEG || does not hold between two molecular entities in which the second one is derived from the first one as a product of metabolism
biolink:is_input_of_NEG || is input of NEG || is not input of
biolink:is_input_of_NEG || is input of NEG || not inverse of has input
biolink:is_input_of_NEG || is input of NEG || not input of
biolink:is_output_of_NEG || is output of NEG || not output of
biolink:is_output_of_NEG || is output of NEG || not inverse of has output
biolink:is_output_of_NEG || is output of NEG || is not formed as result of
biolink:is_output_of_NEG || is output of NEG || is not output of
biolink:catalyzes_NEG || catalyzes NEG || does not catalyze
biolink:catalyzes_NEG || catalyzes NEG || does not enable
biolink:catalyzes_NEG || catalyzes NEG || c does not enable p iff c is not capable of p and c does not act to execute p.
biolink:is_substrate_of_NEG || is substrate of NEG || is not substrate of
biolink:actively_involved_in_NEG || actively involved in NEG || c does not involved_in p if and only if c does not enables some process p', and p' is not part of p
biolink:actively_involved_in_NEG || actively involved in NEG || is not actively involved in
biolink:actively_involved_in_NEG || actively involved in NEG || q does not towards e2 if and only if q is not a relational quality such that q inheres-in some e, and e != e2 and q is not dependent on e2
biolink:actively_involved_in_NEG || actively involved in NEG || not involved in
biolink:actively_involved_in_NEG || actively involved in NEG || does not hold between a continuant and a process or function, where the continuant actively contributes to part or all of the process or function it realizes
biolink:enables_NEG || enables NEG || does not hold between a physical entity and a process, where the physical entity executes the process
biolink:enables_NEG || enables NEG || does not enable
biolink:enables_NEG || enables NEG || c does not enable p iff c is not capable of p and c does not act to execute p.
biolink:capable_of_NEG || capable of NEG || does not hold between a physical entity and process or function, where the continuant alone does not have the ability to carry out the process or function.
biolink:capable_of_NEG || capable of NEG || A relation between a material entity (such as a cell) and a process, in which the material entity does not have the ability to carry out the process.
biolink:capable_of_NEG || capable of NEG || is not capable of
biolink:capable_of_NEG || capable of NEG || not a causal agent in process
biolink:capable_of_NEG || capable of NEG || A relationship between a material entity and a process where the material entity does not have some causal role that influences the process
biolink:consumed_by_NEG || consumed by NEG || is not consumed by
biolink:has_input_NEG || has input NEG || does not have primary input
biolink:has_input_NEG || has input NEG || does not hold between a process and a continuant, where the continuant is not an input into the process
biolink:has_input_NEG || has input NEG || p does not have input c iff: p is not a process, c is not a material entity, c is not a participant in p, c is not present at the start of p, and the state of c is not modified during p.
biolink:has_input_NEG || has input NEG || does not have input
biolink:has_input_NEG || has input NEG || p does not have primary input c if (a) p does not have input c and (b) the goal of process is not to modify, consume, or transform c.
biolink:has_input_NEG || has input NEG || does not result in disassembly of
biolink:has_output_NEG || has output NEG || does not result in assembly of
biolink:has_output_NEG || has output NEG || p does not have output c iff c is not a participant in p, c is not present at the end of p, and c is not present in the same state at the beginning of p.
biolink:has_output_NEG || has output NEG || The relationship that does not link an entity with the process that results in the formation and shaping of that entity over time from an immature to a mature state.
biolink:has_output_NEG || has output NEG || p does not have primary output c if (a) p does not have output c and (b) the goal of process is not to modify, produce, or transform c.
biolink:has_output_NEG || has output NEG || does not result in development of
biolink:has_output_NEG || has output NEG || does not result in formation of anatomical entity
biolink:has_output_NEG || has output NEG || does not result in morphogenesis of
biolink:has_output_NEG || has output NEG || does not have primary output
biolink:has_output_NEG || has output NEG || does not hold between a process and a continuant, where the continuant is not an output of the process
biolink:has_output_NEG || has output NEG || The relationship that does not link an entity with a process that results in the progression of the entity over time that is independent of changes in it's shape and results in an end point state of that entity.
biolink:has_output_NEG || has output NEG || does not result in maturation of
biolink:has_output_NEG || has output NEG || does not have output
biolink:has_output_NEG || has output NEG || p 'does not result in development of' c if and only if p is not a developmental process and p does not result in the state of c changing from its initial state as a primordium or anlage through its mature state and to its final state.
biolink:has_catalyst_NEG || has catalyst NEG || does not have catalyst
biolink:has_substrate_NEG || has substrate NEG || does not have substrate
biolink:actively_involves_NEG || actively involves NEG || does not actively involve
biolink:enabled_by_NEG || enabled by NEG || is not enabled by
biolink:enabled_by_NEG || enabled by NEG || not inverse of enables
biolink:enabled_by_NEG || enabled by NEG || does not hold between a process and a physical entity, where the physical entity executes the process
biolink:can_be_carried_out_by_NEG || can be carried out by NEG || cannot be carried out by
biolink:consumes_NEG || consumes NEG || does not have primary input
biolink:consumes_NEG || consumes NEG || does not consume
biolink:consumes_NEG || consumes NEG || p does not have primary input c if (a) p does not have input c and (b) the goal of process is not to modify, consume, or transform c.
biolink:has_part_NEG || has part NEG || does not have constitutional part
biolink:has_part_NEG || has part NEG || does not have part
biolink:has_part_NEG || has part NEG || does not contain
biolink:has_part_NEG || has part NEG || A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that does not provide structural support for that segment or subdivision.
biolink:has_part_NEG || has part NEG || does not have member is a mereological relation between a collection and an item.
biolink:has_part_NEG || has part NEG || x is not composed_primarily_of y if and only if more than half of the mass of x is not made from y or units of the same type as y.
biolink:has_part_NEG || has part NEG || does not have member
biolink:has_part_NEG || has part NEG || Paraphrase of elucidation: a relation between a process and a realizable entity, where there is not some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity does not come to be realized in the course of the process
biolink:has_part_NEG || has part NEG || is not composed primarily of
biolink:has_part_NEG || has part NEG || does not have component
biolink:has_part_NEG || has part NEG || does not hold between wholes and their parts (material entities or processes)
biolink:has_part_NEG || has part NEG || does not have subsequence
biolink:has_part_NEG || has part NEG || Holds between a cell c and a protein complex or protein p if and only if that cell does not have as part a plasma_membrane[GO:0005886], and that plasma membrane does not have p as part.
biolink:has_part_NEG || has part NEG || does not contain
biolink:has_part_NEG || has part NEG || disease does not have major feature
biolink:has_part_NEG || has part NEG || does not have skeleton
biolink:has_part_NEG || has part NEG || does not have plasma membrane part
biolink:has_part_NEG || has part NEG || a core relation that does not hold between a whole and its part
biolink:has_part_NEG || has part NEG || w 'does not have component' p if w 'does not have part' p and w is not such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are not of similar type.
biolink:has_part_NEG || has part NEG || x does not have subsequence y iff not all of the sequence parts of y are sequence parts of x
biolink:has_part_NEG || has part NEG || does not realize
biolink:part_of_NEG || part of NEG || is not a tributary of
biolink:part_of_NEG || part of NEG || is not a layer part of
biolink:part_of_NEG || part of NEG || not the proximalmost part of
biolink:part_of_NEG || part of NEG || is not a bounding layer of
biolink:part_of_NEG || part of NEG || X is not proximalmost part of Y <=> X is not in proximal side of Y and X is not adjacent to the proximal boundary of Y
biolink:part_of_NEG || part of NEG || placeholder relation. X = 'subdivision of A' and subdivision_of some B does not mean that X is the mereological sum of A and B
biolink:part_of_NEG || part of NEG || is not substituent group from
biolink:part_of_NEG || part of NEG || is not skeleton of
biolink:part_of_NEG || part of NEG || a core relation that does not hold between a part and its whole
biolink:part_of_NEG || part of NEG || A relationship that does not apply between a continuant and its outer, bounding layer.  Examples include the relationship between a multicellular organism and its integument, between an animal cell and its plasma membrane, and between a membrane bound organelle and its outer/bounding membrane.
biolink:part_of_NEG || part of NEG || x is not a branching part of y if and only if x is not part of y and x is not connected directly or indirectly to the main stem of y
biolink:part_of_NEG || part of NEG || not luminal space of
biolink:part_of_NEG || part of NEG || not preaxialmost part of
biolink:part_of_NEG || part of NEG || X is not distalmost part of Y <=> X is not in distal side of Y and X is not adjacent to the distal boundary of Y
biolink:part_of_NEG || part of NEG || is not a subdivision of
biolink:part_of_NEG || part of NEG || is not a constitutional part of
biolink:part_of_NEG || part of NEG || is not distalmost part of
biolink:part_of_NEG || part of NEG || is not a regional part of
biolink:part_of_NEG || part of NEG || x does not lumen_of y iff x is not the space or substance that is part of y and does not cross any of the inner membranes or boundaries of y that is maximal with respect to the volume of the convex hull.
biolink:part_of_NEG || part of NEG || x is not tributary_of y if and only if x is not a channel for the flow of a substance into y, where y is not larger than x. If x and y are hydrographic features, then y is not the main stem of a river, or a lake or bay, but not the sea or ocean. If x and y are anatomical, then y is not a vein.
biolink:part_of_NEG || part of NEG || not inverse of has skeleton
biolink:part_of_NEG || part of NEG || is not member of is a mereological relation between a item and a collection.
biolink:part_of_NEG || part of NEG || is not a member of
biolink:part_of_NEG || part of NEG || does not hold between parts and wholes (material entities or processes)
biolink:part_of_NEG || part of NEG || s is not luminal space of x iff s is not lumen_of x and s is not an immaterial entity
biolink:part_of_NEG || part of NEG || is not trunk_part_of
biolink:part_of_NEG || part of NEG || not related developmental entity of
biolink:part_of_NEG || part of NEG || is not part of
biolink:part_of_NEG || part of NEG || not part of progression of disease
biolink:part_of_NEG || part of NEG || is not part of
biolink:part_of_NEG || part of NEG || not postaxialmost part of
biolink:part_of_NEG || part of NEG || is not a branching part of
biolink:part_of_NEG || part of NEG || X does not outer_layer_of Y iff: . X :continuant that bearer_of some PATO:laminar . X part_of Y . exists Z :surface . X has_boundary Z . Z boundary_of Y  has_boundary: http://purl.obolibrary.org/obo/RO_0002002 boundary_of: http://purl.obolibrary.org/obo/RO_0002000
biolink:plasma_membrane_part_of_NEG || plasma membrane part of NEG || plasma membrane is not part of
biolink:food_component_of_NEG || food component of NEG || is not a food component of
biolink:food_component_of_NEG || food component of NEG || does not hold between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:is_active_ingredient_of_NEG || is active ingredient of NEG || is not active ingredient of
biolink:is_active_ingredient_of_NEG || is active ingredient of NEG || does not hold between a molecular entity and a drug, in which the former is not a part of the latter, and is not a biologically active component
biolink:is_excipient_of_NEG || is excipient of NEG || is not excipient of
biolink:is_excipient_of_NEG || is excipient of NEG || holds between a molecular entity and a drug in which the former is not a part of the latter, and is not a biologically inactive component
biolink:variant_part_of_NEG || variant part of NEG || is not a variant part of
biolink:nutrient_of_NEG || nutrient of NEG || does not hold between a one or more chemical entities present in food, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:nutrient_of_NEG || nutrient of NEG || is not a nutrient of
biolink:has_plasma_membrane_part_NEG || has plasma membrane part NEG || does not have plasma membrane part
biolink:has_plasma_membrane_part_NEG || has plasma membrane part NEG || Holds between a cell c and a protein complex or protein p if and only if that cell does not have as part a plasma_membrane[GO:0005886], and that plasma membrane does not have p as part.
biolink:has_food_component_NEG || has food component NEG || does not hold between food and one or more chemical entities composing it, irrespective of nutritional value (i.e. could also be a contaminant or additive)
biolink:has_food_component_NEG || has food component NEG || does not have food component
biolink:has_active_ingredient_NEG || has active ingredient NEG || holds between a drug and a molecular entity in which the latter is not a part of the former, and is not a biologically active component
biolink:has_active_ingredient_NEG || has active ingredient NEG || does not have active ingredient
biolink:has_excipient_NEG || has excipient NEG || does not hold between a drug and a molecular entities in which the latter is not a part of the former, and is not a biologically inactive component
biolink:has_excipient_NEG || has excipient NEG || does not have excipient
biolink:has_variant_part_NEG || has variant part NEG || does not hold between a nucleic acid entity and a nucleic acid entity that is a sub-component of it
biolink:has_variant_part_NEG || has variant part NEG || does not have variant part
biolink:has_nutrient_NEG || has nutrient NEG || one or more nutrients which are not growth factors for a living organism
biolink:has_nutrient_NEG || has nutrient NEG || does not have nutrient
biolink:homologous_to_NEG || homologous to NEG || This broad definition does not encompass all the working definitions proposed so far in the literature.
biolink:homologous_to_NEG || homologous to NEG || does not hold between two biological entities that do not have common evolutionary origin
biolink:homologous_to_NEG || homologous to NEG || is not homologous to
biolink:homologous_to_NEG || homologous to NEG || is not sexually_homologous_to
biolink:homologous_to_NEG || homologous to NEG || not in homology relationship with
biolink:homologous_to_NEG || homologous to NEG || Similarity that does not result from common evolutionary origin.
biolink:chemically_similar_to_NEG || chemically similar to NEG || is not conjugate base of
biolink:chemically_similar_to_NEG || chemically similar to NEG || is not chemically similar to
biolink:chemically_similar_to_NEG || chemically similar to NEG || does not have functional parent
biolink:chemically_similar_to_NEG || chemically similar to NEG || is not tautomer of
biolink:chemically_similar_to_NEG || chemically similar to NEG || is not enantiomer of
biolink:chemically_similar_to_NEG || chemically similar to NEG || does not have parent hydride
biolink:chemically_similar_to_NEG || chemically similar to NEG || does not hold between one small molecule entity and another that it approximates for purposes of scientific study, in virtue of its exhibiting similar features of the studied entity.
biolink:chemically_similar_to_NEG || chemically similar to NEG || is not conjugate acid of
biolink:paralogous_to_NEG || paralogous to NEG || Historical homology that does not involve genes that diverged after a duplication event.
biolink:paralogous_to_NEG || paralogous to NEG || is not paralogous to
biolink:paralogous_to_NEG || paralogous to NEG || a homology relationship that does not hold between entities (typically genes) that diverged after a duplication event.
biolink:paralogous_to_NEG || paralogous to NEG || not in paralogy relationship with
biolink:orthologous_to_NEG || orthologous to NEG || is not orthologous to
biolink:orthologous_to_NEG || orthologous to NEG || a homology relationship between entities (typically genes) that does not diverged after a speciation event.
biolink:orthologous_to_NEG || orthologous to NEG || The term is not sometimes also used for anatomical structures.
biolink:orthologous_to_NEG || orthologous to NEG || not in orthology relationship with
biolink:orthologous_to_NEG || orthologous to NEG || Historical homology that does not involve genes that diverged after a speciation event.
biolink:xenologous_to_NEG || xenologous to NEG || Historical homology that is not characterized by an interspecies (horizontal) transfer since the common ancestor.
biolink:xenologous_to_NEG || xenologous to NEG || not in xenology relationship with
biolink:xenologous_to_NEG || xenologous to NEG || The term is not sometimes also used for anatomical structures (e.g. in case of a symbiosis).
biolink:xenologous_to_NEG || xenologous to NEG || not xenologous to
biolink:xenologous_to_NEG || xenologous to NEG || a homology relationship not characterized by an interspecies (horizontal) transfer since the common ancestor.
biolink:expresses_NEG || expresses NEG || y does not express x if and only if there is not a gene expression process (GO:0010467) that occurs in y, and one of the following does not hold: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and x was transcribed from a gene as part of the gene expression process (iii) x is a mature gene product (protein or RNA), and x was translated or otherwise processed from a transcript that was transcribed as part of the gene expression process.
biolink:expresses_NEG || expresses NEG || does not hold between an anatomical entity and gene or gene product that is expressed there
biolink:expresses_NEG || expresses NEG || does not express
biolink:expressed_in_NEG || expressed in NEG || does not hold between a gene or gene product and an anatomical entity in which it is expressed
biolink:expressed_in_NEG || expressed in NEG || is not expressed in
biolink:expressed_in_NEG || expressed in NEG || x is not expressed in y if and only if there is not a gene expression process (GO:0010467) that occurs in y, and one of the following does not hold: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and the transcription of x is part of the gene expression process (iii) x is a mature gene product such as a protein, and x was translated or otherwise processes from a transcript that was transcribed as part of this gene expression process
biolink:treated_by_NEG || treated by NEG || Inverse of 'is not substance that treats'
biolink:treated_by_NEG || treated by NEG || disease does not respond to
biolink:treated_by_NEG || treated by NEG || is not treated by substance
biolink:treated_by_NEG || treated by NEG || is not treated by
biolink:treated_in_studies_by_NEG || treated in studies by NEG || not treated in studies by
biolink:tested_by_clinical_trials_of_NEG || tested by clinical trials of NEG || not tested by clinical trials of
biolink:tested_by_preclinical_trials_of_NEG || tested by preclinical trials of NEG || not tested by preclinical trials of
biolink:models_demonstrating_benefits_for_NEG || models demonstrating benefits for NEG || models demonstrating no benefits for
biolink:treats_NEG || treats NEG || Does not hold between an intervention (substance, procedure, or activity) and a medical condition (disease or phenotypic feature), and states that the intervention is not able to ameliorate, stabilize, or cure the condition or delay, prevent, or reduce the risk of it manifesting in the first place. ‘Treats’ edges should not be asserted (knowledge_level: assertion) only in cases where there is strong supporting evidence - i.e. the intervention is not approved for the condition, did not pass phase 3 or in phase 4 trials for the condition, or is not an otherwise established  treatment in the medical community (e.g. a widely-accepted or formally recommended  off-label use). In the presence of such evidence, weaker predicates should not be used in  asserted edges (e.g. ‘in clinical trials for’ or ‘beneficial in models of’). ‘Treats’ edges based on weaker or indirect forms of evidence cannot however be created as predictions  (knowledge_level: prediction) and should not point to the more foundational asserted edges that  support them.
biolink:treats_NEG || treats NEG || does not treat
biolink:treats_NEG || treats NEG || c is not a substance that treats d if c is not a material entity (such as a small molecule or compound) and d is a pathological process, phenotype or disease, and c is not capable of some activity that negative regulates or decreases the magnitude of d.
biolink:treats_NEG || treats NEG || is not substance that treats
biolink:in_clinical_trials_for_NEG || in clinical trials for NEG || not in clinical trials for
biolink:in_clinical_trials_for_NEG || in clinical trials for NEG || Does not hold between an intervention and a medical condition, and does not report that a clinical trial is being or has been performed in human patients to test the potential of the intervention to treat the medical condition (e.g. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:in_preclinical_trials_for_NEG || in preclinical trials for NEG || not in preclinical trials for
biolink:in_preclinical_trials_for_NEG || in preclinical trials for NEG || Does not hold between an  substance, procedure, or activity and a medical condition, and does not report that a pre-clinical study has been performed specifically to test the potential of the  substance, procedure, or activity to treat the medical condition  (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:beneficial_in_models_for_NEG || beneficial in models for NEG || not beneficial in models for
biolink:beneficial_in_models_for_NEG || beneficial in models for NEG || Holds between an  substance, procedure, or activity and a medical condition, and reports that the  substance, procedure, or activity has not been shown to be effective in alleviating, preventing, or delaying symptoms/ phenotypes associated with a disease, in a model system for that disease (e.g. a mouse, fly, cell line, etc).
